direction,stop_sequence,stop_id,stop_name
순환/운행,1,30504,율리공영차고지
순환/운행,2,30714,우신고등학교입구
순환/운행,3,30712,울산과학대학앞
순환/운행,4,30708,울산대학교앞
순환/운행,5,30706,울산대학교후문
순환/운행,6,30704,신복교차로
순환/운행,7,22401,옥현주공아파트앞
순환/운행,8,22403,성광여고앞
순환/운행,9,40601,공원묘지입구
순환/운행,10,40604,옥동중학교앞
순환/운행,11,40605,법원
순환/운행,12,40609,"옥동행정복지센터,울산대공원정문"
순환/운행,13,40607,옥동초등학교
순환/운행,14,40611,"학성고등학교,서여자중학교"
순환/운행,15,40613,신정고등학교
순환/운행,16,40403,공업탑
순환/운행,17,40407,롯데마트
순환/운행,18,40409,강남초등학교
순환/운행,19,40411,달동현대아파트앞
순환/운행,20,40413,번영사거리
순환/운행,21,40415,목화예식장앞
순환/운행,22,40417,현대백화점사거리
순환/운행,23,40419,시외고속버스터미널
순환/운행,24,40421,농수산물도매시장앞
순환/운행,25,40425,"이마트앞,울산통계청"
순환/운행,26,12313,태화강역(1번 정류소)
순환/운행,27,24254,자동차선적장1
순환/운행,28,24250,KCC울산공장
순환/운행,29,24248,현대미포정문
순환/운행,30,24246,현대미포동문
순환/운행,31,27126,송정타워
순환/운행,32,27124,화정주공아파트앞
순환/운행,33,27122,울산과학대학앞
순환/운행,34,27120,금강아파트앞
순환/운행,35,27118,동구청
순환/운행,36,27116,한라타워앞
순환/운행,37,27114,전하아이파크
순환/운행,38,27112,남호그린아파트앞
순환/운행,39,27110,대경넥스빌앞
순환/운행,40,27108,"아산의학관,울산대학병원"
순환/운행,41,27106,"현대중,고등학교앞"
순환/운행,42,27104,동부도서관앞
순환/운행,43,27102,녹수초등학교
순환/운행,44,24215,서부패밀리 아파트
순환/운행,45,60211,서부패밀리110동
순환/운행,46,60213,지웰시티자이
순환/운행,47,60203,서부성원상떼빌북문
순환/운행,48,27105,"현대중,고등학교앞"
순환/운행,49,27107,"아산의학관,울산대학병원"
순환/운행,50,27109,대경넥스빌앞
순환/운행,51,27111,남호그린아파트앞
순환/운행,52,27113,전하아이파크
순환/운행,53,27115,한라타워앞
순환/운행,54,27117,동구청
순환/운행,55,27119,금강아파트앞
순환/운행,56,27121,울산과학대학앞
순환/운행,57,27123,화정주공아파트앞
순환/운행,58,27125,송정타워
순환/운행,59,24245,미포해양개발앞
순환/운행,60,24247,현대미포정문
순환/운행,61,24249,KCC울산공장
순환/운행,62,24253,자동차선적장2
순환/운행,63,12314,태화강역(2번 정류소)
순환/운행,64,40428,"이마트앞,울산통계청"
순환/운행,65,40422,농수산물도매시장앞
순환/운행,66,40420,"시외고속버스터미널/서울삼성정형외과의원"
순환/운행,67,40418,현대백화점사거리
순환/운행,68,40416,좋은의사들안과병원
순환/운행,69,40414,번영사거리
순환/운행,70,40412,하나이비인후과병원
순환/운행,71,40410,강남초등학교
순환/운행,72,40408,롯데마트
순환/운행,73,40404,공업탑
순환/운행,74,40614,"신정고등학교/학성고등학교"
순환/운행,75,40610,옥동초등학교
순환/운행,76,40608,"옥동행정복지센터,울산대공원정문"
순환/운행,77,40606,법원
순환/운행,78,40603,옥동중학교앞
순환/운행,79,40602,공원묘지입구
순환/운행,80,40620,보건환경연구원
순환/운행,81,22404,성광여고앞
순환/운행,82,22402,옥현주공아파트앞
순환/운행,83,30703,신복교차로
순환/운행,84,30705,울산대학교후문
순환/운행,85,30707,울산대학교앞
순환/운행,86,30711,울산과학대학앞
순환/운행,87,30713,문수경기장입구
순환/운행,88,30597,문수실버복지관
순환/운행,89,30503,율리공영차고지종점
