direction,stop_sequence,stop_id,stop_name
순환/운행,1,40344,명촌차고지(기점)
순환/운행,2,40340,현대자동차명촌정문앞
순환/운행,3,30610,효문사거리
순환/운행,4,30606,농심메가마트앞
순환/운행,5,30604,종합운동장앞
순환/운행,6,30602,학성초등학교
순환/운행,7,31706,신울산종합시장
순환/운행,8,31704,홈플러스중구점
순환/운행,9,31702,중구청앞
순환/운행,10,30911,남운아파트
순환/운행,11,30913,동덕현대복산아이파크
순환/운행,12,30915,복산동행정복지센터앞
순환/운행,13,30917,북정아파트앞
순환/운행,14,30919,성안입구
순환/운행,15,30921,우정아이파크
순환/운행,16,30923,울산교육청
순환/운행,17,30960,"종갓집도서관,함월고"
순환/운행,18,30964,"LH2단지,호반베르디움"
순환/운행,19,40601,공원묘지입구
순환/운행,20,40604,옥동중학교앞
순환/운행,21,40605,법원
순환/운행,22,40609,"옥동행정복지센터,울산대공원정문"
순환/운행,23,40607,옥동초등학교
순환/운행,24,40611,"학성고등학교,서여자중학교"
순환/운행,25,40613,신정고등학교
순환/운행,26,40403,공업탑
순환/운행,27,31117,루첸아파트
순환/운행,28,31205,수암시장앞
순환/운행,29,31207,동부아파트입구
순환/운행,30,40534,국민요양병원
순환/운행,31,40532,롯데인벤스앞
순환/운행,32,40530,달동주공아파트앞
순환/운행,33,40528,번영사거리
순환/운행,34,40526,문화예술회관앞
순환/운행,35,40524,"KBS방송국앞/울산병원"
순환/운행,36,40520,중앙전통시장
순환/운행,37,40518,한국건강관리협회
순환/운행,38,40514,울산mbc
순환/운행,39,31703,홈플러스중구점
순환/운행,40,31705,신울산종합시장
순환/운행,41,30601,학성초등학교
순환/운행,42,30603,종합운동장앞
순환/운행,43,30605,농심메가마트앞
순환/운행,44,40337,효문사거리
순환/운행,45,40343,명촌차고지(종점)
